Country,Confirmed,Deaths,Recovered
United States,"1,399,905","83,019","234,607"
Russia,"232,243","2,116","43,512"
Spain,"228,030","26,920","138,930"
United Kingdom,"226,463","32,692",No data
Italy,"221,216","30,911","109,039"
Brazil,"178,214","12,461","72,597"
Germany,"173,273","7,754","144,451"
Turkey,"141,475","3,894","98,889"
France,"140,227","26,991","57,785"
Iran,"110,767","6,733","88,357"
China,"82,926","4,633","78,189"
India,"74,281","2,415","24,386"
Peru,"72,059","2,057","23,324"
Canada,"71,157","5,169","34,042"
Belgium,"53,779","8,761","13,732"
Netherlands,"42,984","5,510",No data
Saudi Arabia,"42,925",264,"15,257"
Mexico,"38,324","3,926","17,781"
Pakistan,"32,674",724,"8,555"
Chile,"31,721",335,"14,125"
Ecuador,"30,419","2,327","3,433"
Switzerland,"30,380","1,561","26,900"
Portugal,"27,913","1,163","3,013"
Sweden,"27,272","3,313","4,971"
Qatar,"25,149",14,"3,019"
Belarus,"24,873",142,"6,974"
Singapore,"24,671",21,"3,851"
Ireland,"23,242","1,488","17,110"
United Arab Emirates,"19,661",203,"6,012"
Poland,"16,921",839,"6,131"
Bangladesh,"16,660",250,"2,902"
Israel,"16,526",258,"11,956"
Japan,"16,049",678,"8,920"
Ukraine,"16,023",425,"3,373"
Austria,"15,910",623,"14,148"
Romania,"15,778",991,"7,685"
Indonesia,"14,749","1,007","3,063"
Colombia,"12,272",493,"2,971"
Philippines,"11,350",751,"2,106"
South Africa,"11,350",206,"4,357"
South Korea,"10,962",259,"9,695"
Dominican Republic,"10,900",402,"3,221"
Denmark,"10,591",527,"8,580"
Kuwait,"10,277",75,"3,101"
Serbia,"10,243",220,"3,600"
Egypt,"10,093",544,"21,365"
Panama,"8,783",252,"6,021"
Czech Republic,"8,221",283,"4,889"
Norway,"8,157",228,"7,114"
Australia,"6,972",98,"6,035"
Malaysia,"6,742",109,"5,223"
Argentina,"6,550",319,"1,849"
Morocco,"6,418",188,"2,991"
Algeria,"6,067",515,"2,998"
Finland,"6,003",275,"4,300"
Bahrain,"5,531",8,"2,192"
Kazakhstan,"5,279",32,"2,223"
Moldova,"5,154",182,"2,069"
Ghana,"5,127",22,494
Afghanistan,"4,963",127,610
Nigeria,"4,787",158,959
Luxembourg,"3,894",102,"3,610"
Oman,"3,721",17,1250
Armenia,"3,538",47,"1,430"
Hungary,"3,313",425,1007
Thailand,"3,017",56,"2,798"
Iraq,"2,913",112,"1,903"
Bolivia,"2,831",122,299
Greece,"2,744",153,"1,374"
Azerbaijan,"2,693",33,"1,735"
Cameroon,"2,689",125,"1,524"
Uzbekistan,"2,547",10,"2,040"
Puerto Rico,"2,299",114,746
Guinea,"2,298",11,816
Croatia,"2,207",91,"1,808"
Bosnia & Herzegovina,"2,158",117,"1,168"
Honduras,"2,006",116,206
Bulgaria,"2,023",95,476
Senegal,"1,995",19,742
Ivory Coast,"1,857",21,820
Cuba,"1,804",78,"1,277"
Iceland,"1,801",10,"1,776"
Estonia,"1,746",61,777
North Macedonia,"1,674",92,"1,205"
Sudan,"1,661",80,173
Lithuania,"1,491",50,850
Slovakia,"1,465",27,983
Slovenia,"1,461",102,259
Djibouti,"1,256",3,886
Somalia,"1,170",52,126
New Zealand,"1,147",21,"1,412"
Guatemala,"1,114",26,111
DR Congo,"1,102",44,146
USS Theodore Roosevelt,"1,102",1,53
Hong Kong,"1,048",4,991
Kyrgyzstan,"1,037",12,709
Tunisia,"1,032",45,740
El Salvador,998,18,349
Latvia,946,18,464
Kosovo,919,29,671
Maldives,904,3,29
Cyprus,903,16,449
Sri Lanka,889,9,366
Albania,876,31,682
Lebanon,870,26,234
Gabon,863,9,137
Niger,854,47,648
Guinea-Bissau,820,3,26
Costa Rica,804,7,520
Burkina Faso,766,51,588
Andorra,758,48,568
Paraguay,737,10,173
Mali,730,40,398
Tajikistan,729,21,0
Kenya,715,36,259
Uruguay,711,19,523
Georgia,642,11,349
San Marino,638,41,161
Jordan,576,9,390
Tanzania,509,21,183
Malta,506,5,434
Jamaica,505,9,90
Zambia,441,7,117
Taiwan,440,7,372
